iter	MultiClass
0	0.6255814919
1	0.4911996133
2	0.6335730348
3	0.5078644033
4	0.6401218208
5	0.5184263841
6	0.6442664392
7	0.5237102422
8	0.6489575983
9	0.5290299141
10	0.4711143883
11	0.2965566339
12	0.4900598007
13	0.3296338967
14	0.5025506098
15	0.3519451231
16	0.5125898162
17	0.3638288021
18	0.5201847791
19	0.3763803654
20	0.3434468764
21	0.1475994177
22	0.3780766935
23	0.1989092098
24	0.3973741372
25	0.2252414127
26	0.4126902056
27	0.2474366308
28	0.4234828147
29	0.2619284667
30	0.1341063413
31	0.02664393179
